:START_ID,:END_ID,:TYPE
25,798,FOLLOWS
25,789,FOLLOWS
25,753,FOLLOWS
58,172,FOLLOWS
58,4834,FOLLOWS
58,5486,FOLLOWS
58,81,FOLLOWS
58,5656,FOLLOWS
58,4939,FOLLOWS
58,5596,FOLLOWS
58,6792,FOLLOWS
81,58,FOLLOWS
172,58,FOLLOWS
172,2898,FOLLOWS
172,87417,FOLLOWS
244,295,FOLLOWS
258,244,FOLLOWS
258,4982,FOLLOWS
258,4980,FOLLOWS
258,5372,FOLLOWS
258,5376,FOLLOWS
291,9262,FOLLOWS
295,244,FOLLOWS
300,6927,FOLLOWS
337,214228,FOLLOWS
337,247358,FOLLOWS
363,8696,FOLLOWS
371,17907,FOLLOWS
371,18124,FOLLOWS
592,18094,FOLLOWS
737,19591,FOLLOWS
753,25,FOLLOWS
755,25,FOLLOWS
755,18094,FOLLOWS
755,20805,FOLLOWS
755,11672,FOLLOWS
789,25,FOLLOWS
798,25,FOLLOWS
798,3006,FOLLOWS
798,44827,FOLLOWS
798,58225,FOLLOWS
929,8378,FOLLOWS
929,17742,FOLLOWS
938,14815,FOLLOWS
938,24880,FOLLOWS
938,24379,FOLLOWS
938,20340,FOLLOWS
1028,11162,FOLLOWS
1219,22531,FOLLOWS
1219,29279,FOLLOWS
1222,14901,FOLLOWS
1310,79580,FOLLOWS
1339,8656,FOLLOWS
1478,37570,FOLLOWS
1633,1219,FOLLOWS
1694,183952,FOLLOWS
1699,33461,FOLLOWS
1699,40030,FOLLOWS
1699,39958,FOLLOWS
1699,40738,FOLLOWS
1699,211147,FOLLOWS
1789,4819,FOLLOWS
1811,21072,FOLLOWS
1986,18999,FOLLOWS
2008,11645,FOLLOWS
2008,49146,FOLLOWS
2014,3921,FOLLOWS
2014,2868,FOLLOWS
2111,23169,FOLLOWS
2157,1699,FOLLOWS
2157,15887,FOLLOWS
2157,90447,FOLLOWS
2224,13491,FOLLOWS
2253,50551,FOLLOWS
2371,6405,FOLLOWS
2446,159894,FOLLOWS
2446,182899,FOLLOWS
2446,507764,FOLLOWS
2582,2619,FOLLOWS
2582,5508,FOLLOWS
2619,2582,FOLLOWS
2787,22578,FOLLOWS
2787,27767,FOLLOWS
2787,42415,FOLLOWS
2787,126451,FOLLOWS
2813,68736,FOLLOWS
2814,373047,FOLLOWS
2814,390528,FOLLOWS
2814,700682,FOLLOWS
2890,172,FOLLOWS
2890,142458,FOLLOWS
2898,172,FOLLOWS
2976,172,FOLLOWS
3006,37528,FOLLOWS
3011,25486,FOLLOWS
3023,172,FOLLOWS
3023,1699,FOLLOWS
3183,48196,FOLLOWS
3183,10577,FOLLOWS
3286,82199,FOLLOWS
3287,994629,FOLLOWS
3343,11645,FOLLOWS
3343,15264,FOLLOWS
3406,4819,FOLLOWS
3435,542552,FOLLOWS
3440,67915,FOLLOWS
3459,1219,FOLLOWS
3459,38519,FOLLOWS
3539,17411,FOLLOWS
3557,24970,FOLLOWS
3557,3921,FOLLOWS
3557,16570,FOLLOWS
3557,16158,FOLLOWS
3618,37788,FOLLOWS
3646,434492,FOLLOWS
3700,18480,FOLLOWS
3700,19716,FOLLOWS
3921,2014,FOLLOWS
3921,3557,FOLLOWS
3921,265249,FOLLOWS
3966,92568,FOLLOWS
3966,92581,FOLLOWS
3966,92972,FOLLOWS
3966,92986,FOLLOWS
4025,4173,FOLLOWS
4025,95130,FOLLOWS
4025,51782,FOLLOWS
4025,18563,FOLLOWS
4025,95380,FOLLOWS
4032,80823,FOLLOWS
4059,42415,FOLLOWS
4059,95703,FOLLOWS
4064,1028,FOLLOWS
4064,146505,FOLLOWS
4086,4173,FOLLOWS
4086,101599,FOLLOWS
4173,4025,FOLLOWS
4173,4086,FOLLOWS
4173,10309,FOLLOWS
4173,4667,FOLLOWS
4173,6539,FOLLOWS
4173,4022,FOLLOWS
4211,47932,FOLLOWS
4247,95649,FOLLOWS
4247,95704,FOLLOWS
4251,81531,FOLLOWS
4251,86218,FOLLOWS
4360,102444,FOLLOWS
4360,102448,FOLLOWS
4425,94110,FOLLOWS
4425,98477,FOLLOWS
4429,57809,FOLLOWS
4429,178033,FOLLOWS
4429,401575,FOLLOWS
4556,191866,FOLLOWS
4566,557346,FOLLOWS
4649,111545,FOLLOWS
4649,111543,FOLLOWS
4649,100577,FOLLOWS
4649,112142,FOLLOWS
4649,112236,FOLLOWS
4649,112370,FOLLOWS
4661,15706,FOLLOWS
4661,284512,FOLLOWS
4667,4173,FOLLOWS
4667,8190,FOLLOWS
4680,81653,FOLLOWS
4680,81658,FOLLOWS
4819,58,FOLLOWS
4819,1789,FOLLOWS
4819,26658,FOLLOWS
4834,58,FOLLOWS
4878,110257,FOLLOWS
4939,58,FOLLOWS
4939,2253,FOLLOWS
4939,998669,FOLLOWS
4980,258,FOLLOWS
4982,258,FOLLOWS
4982,31008,FOLLOWS
5046,96499,FOLLOWS
5046,1056989,FOLLOWS
5101,5162,FOLLOWS
5162,5101,FOLLOWS
5162,66214,FOLLOWS
5188,35964,FOLLOWS
5188,114441,FOLLOWS
5188,80766,FOLLOWS
5188,119729,FOLLOWS
5188,40014,FOLLOWS
5188,120051,FOLLOWS
5283,173626,FOLLOWS
5372,118981,FOLLOWS
5376,120460,FOLLOWS
5486,58,FOLLOWS
5508,18079,FOLLOWS
5519,57219,FOLLOWS
5525,120460,FOLLOWS
5525,107177,FOLLOWS
5525,63387,FOLLOWS
5556,10448,FOLLOWS
5556,126322,FOLLOWS
5596,58,FOLLOWS
5596,26150,FOLLOWS
5656,58,FOLLOWS
5656,116498,FOLLOWS
5731,102021,FOLLOWS
5888,22578,FOLLOWS
5888,90641,FOLLOWS
5889,28210,FOLLOWS
5889,121636,FOLLOWS
5889,69773,FOLLOWS
5889,12950,FOLLOWS
5889,11653,FOLLOWS
5889,131723,FOLLOWS
5927,6910,FOLLOWS
5927,128683,FOLLOWS
5991,21072,FOLLOWS
5991,28264,FOLLOWS
6048,134483,FOLLOWS
6048,134805,FOLLOWS
6048,129178,FOLLOWS
6048,100706,FOLLOWS
6136,325274,FOLLOWS
6136,755308,FOLLOWS
6150,133229,FOLLOWS
6150,6671,FOLLOWS
6150,141746,FOLLOWS
6150,140060,FOLLOWS
6150,141738,FOLLOWS
6150,139951,FOLLOWS
6150,132857,FOLLOWS
6150,140409,FOLLOWS
6150,139410,FOLLOWS
6150,136825,FOLLOWS
6150,69149,FOLLOWS
6150,63412,FOLLOWS
6150,142915,FOLLOWS
6150,144161,FOLLOWS
6203,34466,FOLLOWS
6237,207430,FOLLOWS
6237,207615,FOLLOWS
6237,207151,FOLLOWS
6237,65838,FOLLOWS
6237,207244,FOLLOWS
6237,191505,FOLLOWS
6237,208002,FOLLOWS
6237,208078,FOLLOWS
6238,90403,FOLLOWS
6238,133229,FOLLOWS
6242,98005,FOLLOWS
6242,227478,FOLLOWS
6405,2371,FOLLOWS
6405,21209,FOLLOWS
6405,49038,FOLLOWS
6486,5889,FOLLOWS
6486,47005,FOLLOWS
6486,32792,FOLLOWS
6497,7269,FOLLOWS
6500,8190,FOLLOWS
6500,896183,FOLLOWS
6539,4173,FOLLOWS
6539,92894,FOLLOWS
6539,190182,FOLLOWS
6597,133229,FOLLOWS
6597,153012,FOLLOWS
6597,6450,FOLLOWS
6664,144161,FOLLOWS
6664,140409,FOLLOWS
6664,143039,FOLLOWS
6671,6150,FOLLOWS
6671,63412,FOLLOWS
6671,133229,FOLLOWS
6688,3287,FOLLOWS
6688,8190,FOLLOWS
6688,76211,FOLLOWS
6725,129917,FOLLOWS
6792,800956,FOLLOWS
6866,119177,FOLLOWS
6910,35887,FOLLOWS
6927,300,FOLLOWS
6927,11672,FOLLOWS
7066,291,FOLLOWS
7152,162792,FOLLOWS
7152,13508,FOLLOWS
7193,122961,FOLLOWS
7193,109145,FOLLOWS
7204,7650,FOLLOWS
7252,7269,FOLLOWS
7269,6497,FOLLOWS
7269,45144,FOLLOWS
7305,167371,FOLLOWS
7402,79934,FOLLOWS
7437,164396,FOLLOWS
7437,164392,FOLLOWS
7437,12298,FOLLOWS
7491,162279,FOLLOWS
7491,162433,FOLLOWS
7491,253001,FOLLOWS
7504,162918,FOLLOWS
7504,162967,FOLLOWS
7504,161804,FOLLOWS
7504,95957,FOLLOWS
7531,146782,FOLLOWS
7531,62849,FOLLOWS
7531,81653,FOLLOWS
7548,35006,FOLLOWS
7611,127617,FOLLOWS
7650,7204,FOLLOWS
7650,96416,FOLLOWS
7754,7938,FOLLOWS
7759,31542,FOLLOWS
7759,75580,FOLLOWS
7807,2868,FOLLOWS
7908,33650,FOLLOWS
7908,35006,FOLLOWS
7908,24638,FOLLOWS
7908,63380,FOLLOWS
7908,57809,FOLLOWS
7926,178910,FOLLOWS
7926,21451,FOLLOWS
7926,1339,FOLLOWS
7932,184630,FOLLOWS
7938,7754,FOLLOWS
7938,30361,FOLLOWS
7938,77889,FOLLOWS
7938,20544,FOLLOWS
7981,23034,FOLLOWS
8084,22831,FOLLOWS
8084,65359,FOLLOWS
8190,6688,FOLLOWS
8190,6500,FOLLOWS
8190,4667,FOLLOWS
8190,182177,FOLLOWS
8190,90822,FOLLOWS
8197,775832,FOLLOWS
8197,929288,FOLLOWS
8200,10448,FOLLOWS
8200,114067,FOLLOWS
8200,882339,FOLLOWS
8255,70905,FOLLOWS
8255,745107,FOLLOWS
8255,962962,FOLLOWS
8295,8626,FOLLOWS
8295,37477,FOLLOWS
8295,46816,FOLLOWS
8295,74238,FOLLOWS
8295,108727,FOLLOWS
8295,184919,FOLLOWS
8421,46775,FOLLOWS
8422,134738,FOLLOWS
8422,183372,FOLLOWS
8422,183748,FOLLOWS
8422,94349,FOLLOWS
8422,183394,FOLLOWS
8422,183766,FOLLOWS
8422,183573,FOLLOWS
8510,1699,FOLLOWS
8510,36126,FOLLOWS
8594,113018,FOLLOWS
8626,8295,FOLLOWS
8626,188497,FOLLOWS
8656,38569,FOLLOWS
8656,38519,FOLLOWS
8696,363,FOLLOWS
8696,188448,FOLLOWS
8854,191358,FOLLOWS
8924,39958,FOLLOWS
8924,94349,FOLLOWS
8924,391836,FOLLOWS
8924,396284,FOLLOWS
8924,531518,FOLLOWS
8942,22531,FOLLOWS
9000,111282,FOLLOWS
9000,151462,FOLLOWS
9000,377566,FOLLOWS
9000,938390,FOLLOWS
9142,49678,FOLLOWS
9142,158403,FOLLOWS
9155,97677,FOLLOWS
9155,142501,FOLLOWS
9244,24638,FOLLOWS
9244,26545,FOLLOWS
9262,90382,FOLLOWS
9279,95997,FOLLOWS
9279,195451,FOLLOWS
9331,200887,FOLLOWS
9375,22831,FOLLOWS
9375,46259,FOLLOWS
9384,192120,FOLLOWS
9393,152496,FOLLOWS
9393,1287002,FOLLOWS
9419,10448,FOLLOWS
9419,78447,FOLLOWS
9545,123270,FOLLOWS
9593,203620,FOLLOWS
9593,203894,FOLLOWS
9593,204133,FOLLOWS
9596,60506,FOLLOWS
9596,462559,FOLLOWS
9640,68025,FOLLOWS
9688,595949,FOLLOWS
9696,203715,FOLLOWS
9703,1188955,FOLLOWS
9797,177180,FOLLOWS
9797,23034,FOLLOWS
9797,13906,FOLLOWS
9797,202799,FOLLOWS
9802,7133,FOLLOWS
9802,75449,FOLLOWS
9816,205004,FOLLOWS
9838,101671,FOLLOWS
9838,68025,FOLLOWS
9852,101029,FOLLOWS
10022,94110,FOLLOWS
10022,190182,FOLLOWS
10090,115329,FOLLOWS
10090,212125,FOLLOWS
10090,212389,FOLLOWS
10215,215528,FOLLOWS
10215,215455,FOLLOWS
10251,1699,FOLLOWS
10251,117866,FOLLOWS
10251,1418259,FOLLOWS
10302,15706,FOLLOWS
10309,4173,FOLLOWS
10309,200608,FOLLOWS
10309,78447,FOLLOWS
10309,114067,FOLLOWS
10370,157111,FOLLOWS
10370,214589,FOLLOWS
10448,5556,FOLLOWS
10448,9419,FOLLOWS
10448,11855,FOLLOWS
10448,92894,FOLLOWS
10448,200608,FOLLOWS
10486,48847,FOLLOWS
10486,218338,FOLLOWS
10487,1811,FOLLOWS
10487,14616,FOLLOWS
10487,62626,FOLLOWS
10487,95492,FOLLOWS
10487,133734,FOLLOWS
10487,146782,FOLLOWS
10487,152164,FOLLOWS
10487,233767,FOLLOWS
10487,312152,FOLLOWS
10487,356970,FOLLOWS
10487,640228,FOLLOWS
10487,759021,FOLLOWS
10487,946782,FOLLOWS
10552,215576,FOLLOWS
10577,3183,FOLLOWS
10577,35006,FOLLOWS
10644,183589,FOLLOWS
10644,402071,FOLLOWS
10679,118254,FOLLOWS
10679,161980,FOLLOWS
10679,177135,FOLLOWS
10679,195188,FOLLOWS
10679,289306,FOLLOWS
10679,301015,FOLLOWS
10679,494617,FOLLOWS
10679,578538,FOLLOWS
10679,595666,FOLLOWS
10679,609454,FOLLOWS
10679,620506,FOLLOWS
10679,1205182,FOLLOWS
10679,1247970,FOLLOWS
10679,1436696,FOLLOWS
10679,1554669,FOLLOWS
10933,11609,FOLLOWS
11003,36375,FOLLOWS
11162,1028,FOLLOWS
11162,12950,FOLLOWS
11162,106743,FOLLOWS
11165,1522096,FOLLOWS
11175,15396,FOLLOWS
11175,229158,FOLLOWS
11195,94272,FOLLOWS
11212,223938,FOLLOWS
11212,224349,FOLLOWS
11212,224355,FOLLOWS
11250,116196,FOLLOWS
11250,211205,FOLLOWS
11250,230986,FOLLOWS
11250,230987,FOLLOWS
11250,230991,FOLLOWS
11250,27644,FOLLOWS
11250,231176,FOLLOWS
11250,89438,FOLLOWS
11250,231403,FOLLOWS
11255,586404,FOLLOWS
11282,16701,FOLLOWS
11335,231352,FOLLOWS
11335,504983,FOLLOWS
11497,48694,FOLLOWS
11497,179738,FOLLOWS
11497,193870,FOLLOWS
11497,305224,FOLLOWS
11497,319859,FOLLOWS
11497,573193,FOLLOWS
11609,10933,FOLLOWS
11627,167152,FOLLOWS
11627,178868,FOLLOWS
11645,21457,FOLLOWS
11653,5889,FOLLOWS
11653,651236,FOLLOWS
11672,6927,FOLLOWS
11672,8378,FOLLOWS
11695,232351,FOLLOWS
11698,232847,FOLLOWS
11710,253917,FOLLOWS
11710,466170,FOLLOWS
11726,234357,FOLLOWS
11726,234352,FOLLOWS
11726,234759,FOLLOWS
11774,26293,FOLLOWS
11774,232082,FOLLOWS
11800,40300,FOLLOWS
11800,234894,FOLLOWS
11800,234947,FOLLOWS
11855,10448,FOLLOWS
11923,31169,FOLLOWS
11923,53411,FOLLOWS
11957,25130,FOLLOWS
11965,17142,FOLLOWS
12090,237424,FOLLOWS
12129,218208,FOLLOWS
12141,29852,FOLLOWS
12187,1699,FOLLOWS
12187,85512,FOLLOWS
12293,25003,FOLLOWS
12293,30675,FOLLOWS
12322,18017,FOLLOWS
12570,31300,FOLLOWS
12574,93578,FOLLOWS
12574,105794,FOLLOWS
12574,869581,FOLLOWS
12583,38029,FOLLOWS
12583,36655,FOLLOWS
12583,28798,FOLLOWS
12583,39089,FOLLOWS
12667,405314,FOLLOWS
12667,445436,FOLLOWS
12911,250834,FOLLOWS
12911,300212,FOLLOWS
12950,5889,FOLLOWS
12950,88905,FOLLOWS
12987,117407,FOLLOWS
13189,126487,FOLLOWS
13189,31008,FOLLOWS
13346,38341,FOLLOWS
13359,13363,FOLLOWS
13363,13359,FOLLOWS
13481,83206,FOLLOWS
13493,137697,FOLLOWS
13508,122423,FOLLOWS
13594,190182,FOLLOWS
13725,23861,FOLLOWS
13802,162497,FOLLOWS
13802,48847,FOLLOWS
13802,108572,FOLLOWS
13820,239382,FOLLOWS
13824,85512,FOLLOWS
13882,138206,FOLLOWS
13906,128378,FOLLOWS
13906,14185,FOLLOWS
13906,107362,FOLLOWS
13906,15110,FOLLOWS
13906,24880,FOLLOWS
13921,6236,FOLLOWS
