id:ID,age:INT,gender:INT,:LABEL
25,74,0,User
81,21,1,User
171,24,0,User
172,59,1,User
58,34,0,User
244,53,0,User
258,59,1,User
205,50,1,User
337,29,1,User
291,12,0,User
295,12,0,User
300,69,1,User
363,48,1,User
522,69,0,User
371,12,0,User
603,12,0,User
389,12,0,User
592,62,1,User
614,12,0,User
753,33,1,User
755,69,0,User
789,69,0,User
728,69,1,User
737,67,0,User
798,55,0,User
920,53,0,User
938,19,0,User
985,74,1,User
989,47,1,User
1039,52,0,User
1028,34,1,User
929,62,1,User
1219,66,0,User
1094,76,1,User
1222,12,0,User
1310,78,0,User
1339,14,0,User
1314,12,1,User
1317,79,0,User
1478,69,1,User
1346,40,0,User
1408,34,0,User
1514,17,1,User
1572,47,1,User
1623,12,0,User
1682,72,0,User
1699,74,1,User
1662,16,0,User
1633,17,0,User
1691,66,1,User
1694,64,1,User
1789,31,0,User
1952,19,0,User
1811,14,0,User
1997,45,0,User
1986,38,1,User
2014,71,1,User
2008,12,1,User
1958,36,0,User
2111,71,0,User
2157,69,0,User
2224,64,1,User
2253,71,0,User
2372,12,1,User
2266,12,0,User
2446,72,0,User
2371,81,0,User
2582,50,0,User
2616,62,1,User
2619,71,0,User
2813,69,1,User
2827,53,0,User
2787,19,1,User
2814,79,0,User
2868,36,0,User
2678,55,1,User
2898,76,1,User
2976,12,0,User
3006,41,0,User
2890,66,0,User
3011,74,1,User
3123,12,0,User
3023,78,0,User
3183,52,1,User
3030,60,0,User
3287,26,0,User
3338,33,1,User
3354,12,0,User
3343,17,1,User
3440,36,0,User
3061,21,1,User
3557,40,0,User
3286,64,0,User
3459,12,0,User
3435,71,1,User
3539,26,0,User
3420,67,1,User
3406,12,1,User
3618,12,0,User
3683,12,1,User
3698,12,1,User
3700,69,0,User
3782,12,1,User
3799,19,0,User
3646,22,0,User
3921,72,1,User
3966,83,1,User
4022,60,1,User
4059,66,0,User
4086,55,0,User
4064,36,0,User
4025,43,0,User
4173,12,1,User
4150,19,0,User
4032,12,1,User
4002,72,0,User
4247,34,1,User
4211,69,1,User
4251,76,0,User
4360,33,1,User
4349,57,1,User
4429,38,1,User
4392,64,0,User
4566,74,1,User
4511,69,0,User
4556,43,1,User
4558,33,0,User
4667,16,0,User
4661,53,1,User
4425,57,1,User
4734,71,0,User
4648,12,1,User
4649,67,1,User
4819,67,1,User
4680,45,0,User
4878,64,0,User
4939,16,1,User
4834,12,1,User
4900,48,1,User
4982,66,0,User
5046,45,0,User
4980,66,1,User
5162,62,0,User
5024,12,0,User
5101,41,0,User
5283,78,1,User
5298,12,1,User
5276,12,0,User
5372,57,0,User
5188,60,0,User
5346,50,1,User
5462,45,0,User
5486,12,0,User
5508,34,1,User
5525,59,1,User
5376,71,0,User
5519,12,0,User
5702,38,1,User
5656,12,0,User
5556,64,1,User
5596,62,1,User
5731,47,1,User
5888,67,0,User
5866,12,0,User
5927,16,0,User
5889,67,0,User
6003,60,0,User
5991,50,0,User
6048,78,1,User
5981,67,1,User
6042,69,1,User
6126,62,1,User
6175,66,1,User
6203,57,1,User
6242,19,0,User
6150,86,0,User
6236,64,1,User
6237,64,0,User
6238,31,0,User
6136,33,0,User
6410,71,1,User
6497,31,0,User
6500,21,0,User
6450,12,1,User
6400,19,1,User
6486,69,0,User
6597,55,0,User
6539,62,1,User
6405,71,1,User
6688,50,0,User
6725,45,0,User
6664,17,0,User
6832,14,1,User
6671,14,1,User
6675,14,0,User
6792,55,1,User
6910,69,1,User
6939,69,1,User
6927,43,1,User
6866,71,1,User
7066,26,0,User
7133,64,1,User
7202,45,1,User
7193,71,1,User
7204,14,1,User
7252,72,1,User
7152,12,1,User
7267,12,1,User
7269,17,0,User
7215,55,0,User
7338,78,0,User
7305,67,1,User
7402,14,0,User
7417,26,1,User
7389,67,0,User
7437,60,1,User
7491,60,0,User
7504,55,0,User
7335,17,0,User
7536,60,1,User
7548,41,1,User
7611,72,0,User
7684,12,0,User
7759,21,0,User
7650,69,1,User
7762,14,0,User
7531,74,0,User
7754,45,0,User
7807,12,1,User
7908,12,1,User
7910,62,1,User
7938,62,1,User
7926,17,0,User
7853,14,0,User
7886,74,0,User
7932,91,0,User
7891,83,0,User
8002,12,1,User
8025,28,1,User
8043,38,1,User
8084,78,0,User
7981,71,1,User
8190,50,1,User
8255,79,0,User
8197,33,0,User
8200,17,1,User
8376,31,1,User
8295,67,0,User
8378,12,1,User
8326,64,1,User
8421,24,0,User
8422,76,0,User
8366,17,1,User
8429,12,0,User
8510,69,0,User
8626,53,1,User
8594,67,1,User
8656,12,0,User
8658,66,0,User
8701,12,1,User
8696,47,1,User
8623,53,1,User
8679,88,0,User
8854,79,0,User
8927,19,1,User
8942,64,0,User
8966,59,1,User
9000,78,0,User
8924,84,1,User
9155,72,0,User
9070,12,0,User
9137,74,0,User
9142,22,0,User
9272,29,0,User
9262,59,1,User
9331,12,0,User
9279,53,0,User
9244,69,0,User
9324,28,0,User
9329,12,0,User
9393,45,1,User
9366,12,0,User
9384,24,0,User
9375,59,0,User
9419,66,1,User
9295,67,1,User
9545,60,0,User
9646,64,0,User
9566,71,0,User
9591,52,0,User
9665,62,0,User
9593,64,0,User
9596,12,0,User
9696,64,1,User
9611,64,0,User
9656,60,0,User
9731,22,0,User
9703,55,0,User
9797,29,0,User
9802,66,1,User
9816,76,1,User
9688,55,1,User
9871,66,0,User
9852,64,0,User
9640,71,1,User
10022,62,0,User
9838,40,1,User
9989,72,1,User
10090,71,1,User
10129,59,0,User
10179,12,1,User
10215,36,0,User
10192,31,0,User
10242,66,1,User
10280,22,0,User
10309,19,1,User
10370,19,0,User
10302,67,1,User
10251,24,0,User
10486,60,0,User
10487,29,0,User
10448,66,0,User
10561,12,0,User
10410,72,0,User
10592,43,0,User
10552,72,0,User
10616,12,0,User
10577,29,0,User
10644,66,0,User
10789,69,0,User
10679,21,1,User
10933,60,0,User
11003,69,0,User
11162,71,0,User
11165,38,1,User
11195,33,0,User
11141,53,0,User
11282,34,0,User
11255,69,1,User
11247,76,0,User
11212,31,1,User
11175,84,0,User
11250,79,1,User
11446,100,0,User
11461,72,1,User
11335,24,0,User
11445,12,0,User
11276,52,0,User
11497,62,0,User
11539,90,0,User
11627,40,1,User
11644,38,0,User
11645,28,0,User
11672,67,1,User
11710,71,1,User
11695,17,1,User
11696,50,0,User
11609,62,1,User
11698,66,1,User
11855,33,0,User
11774,12,0,User
11800,17,0,User
11842,81,0,User
11726,62,0,User
11957,16,0,User
11653,71,0,User
11815,36,0,User
11965,19,0,User
12141,12,0,User
12065,69,0,User
12129,57,1,User
12187,12,0,User
12163,84,0,User
11923,40,0,User
12318,50,1,User
12293,72,0,User
12090,69,0,User
12322,45,0,User
12298,12,0,User
12299,12,0,User
12232,12,0,User
12312,60,1,User
12574,64,1,User
12570,12,0,User
12622,60,0,User
12667,43,1,User
12640,66,1,User
12583,55,0,User
12738,12,0,User
12705,12,1,User
12772,34,1,User
12659,24,1,User
12950,72,1,User
12837,67,0,User
12862,52,1,User
12911,55,0,User
12987,48,1,User
13042,12,0,User
13043,55,1,User
13189,59,1,User
13212,52,1,User
13346,62,0,User
13245,43,1,User
13359,64,0,User
13363,69,0,User
13491,72,0,User
13508,60,1,User
13493,66,0,User
13481,53,0,User
13594,67,1,User
13568,14,1,User
13756,67,0,User
13620,62,0,User
13725,81,0,User
13820,60,0,User
13802,24,0,User
13906,71,0,User
13921,22,1,User
13882,71,1,User
13824,66,0,User
13784,74,1,User
13830,12,0,User
14054,53,0,User
14090,64,0,User
14224,66,1,User
14214,62,0,User
14298,17,1,User
14328,72,0,User
14330,74,1,User
14185,62,0,User
14241,57,1,User
14361,64,1,User
14274,24,0,User
14276,78,0,User
14286,55,1,User
14346,69,1,User
14516,72,0,User
14616,21,1,User
14620,29,1,User
14651,86,1,User
14550,24,0,User
14590,71,0,User
14810,24,0,User
14901,67,1,User
14885,64,0,User
14685,59,1,User
14927,12,1,User
14815,83,0,User
14887,72,1,User
14787,53,1,User
14788,66,1,User
15144,67,0,User
15086,79,1,User
15146,67,0,User
15009,12,0,User
15110,26,0,User
15054,12,0,User
15162,74,0,User
15214,81,1,User
15271,50,0,User
15147,67,0,User
15148,66,0,User
15362,71,0,User
15260,72,0,User
15149,76,0,User
15195,76,1,User
15264,14,1,User
15368,71,0,User
15369,69,0,User
15370,36,0,User
15483,79,0,User
15396,72,1,User
15478,19,1,User
15416,71,1,User
15590,67,1,User
15610,74,0,User
15706,17,1,User
15721,33,1,User
15736,76,1,User
15685,14,1,User
15771,71,0,User
15843,72,1,User
15732,76,1,User
15845,72,0,User
15887,72,1,User
15906,57,0,User
15823,55,1,User
15869,60,0,User
15882,71,0,User
15924,64,1,User
16071,12,1,User
16158,47,1,User
16028,76,1,User
16029,69,0,User
16128,45,1,User
16279,71,1,User
16109,66,1,User
16239,17,0,User
16166,12,1,User
16428,72,0,User
16429,12,0,User
16254,66,1,User
16392,12,1,User
16447,74,0,User
16517,12,0,User
16462,67,1,User
16425,71,0,User
16433,72,1,User
16451,66,1,User
16570,45,1,User
16529,12,1,User
16530,69,1,User
16701,76,1,User
16631,66,1,User
16582,52,0,User
16690,64,1,User
16816,67,0,User
16694,12,1,User
16762,48,0,User
16752,29,1,User
16882,72,0,User
16851,55,1,User
16739,67,0,User
16844,12,0,User
16921,43,1,User
16676,12,0,User
16814,79,1,User
16896,47,0,User
17004,57,0,User
16965,67,0,User
17195,16,1,User
17221,67,1,User
17097,81,1,User
17316,69,1,User
17301,55,1,User
17332,12,1,User
17142,14,1,User
17143,12,1,User
17145,21,1,User
17402,12,1,User
17337,69,1,User
17506,12,1,User
17466,50,1,User
17456,24,1,User
17513,41,1,User
17432,64,1,User
17411,71,0,User
17441,33,0,User
17629,12,1,User
17544,62,0,User
17563,76,1,User
17742,38,0,User
17801,71,1,User
17907,59,0,User
17978,69,1,User
17933,12,0,User
18017,71,1,User
18079,34,1,User
18094,69,1,User
17847,67,1,User
18124,40,0,User
18139,60,0,User
18201,48,0,User
18111,64,1,User
18144,69,0,User
18259,31,1,User
18176,78,1,User
18262,71,1,User
18336,16,1,User
18361,62,1,User
18237,12,0,User
18320,60,1,User
18157,48,1,User
18407,14,1,User
18438,53,0,User
18534,47,0,User
18445,60,0,User
18538,12,0,User
18433,12,1,User
18510,67,1,User
18563,47,0,User
18596,60,0,User
18480,52,1,User
18724,59,0,User
18738,72,1,User
18770,55,1,User
18641,79,0,User
18714,47,0,User
18932,71,1,User
18934,22,1,User
19053,12,0,User
18995,21,1,User
18999,76,0,User
19078,72,0,User
19190,67,1,User
19222,21,0,User
19294,12,1,User
19256,64,1,User
19288,21,1,User
19268,72,0,User
19435,71,1,User
19479,21,1,User
19400,59,1,User
19527,64,1,User
19591,24,0,User
19578,60,1,User
19567,45,0,User
19622,52,0,User
19612,69,0,User
19613,55,0,User
19529,52,0,User
19468,69,0,User
19643,72,1,User
19620,66,1,User
19792,67,0,User
19832,66,1,User
19716,50,0,User
19864,66,1,User
19854,14,1,User
19830,22,0,User
19896,12,1,User
19951,71,1,User
19901,34,1,User
19987,76,1,User
20137,28,0,User
20144,38,1,User
20054,62,1,User
20244,67,1,User
20230,62,0,User
20215,41,1,User
20299,64,0,User
20358,72,1,User
20340,16,0,User
20350,83,1,User
20403,41,0,User
20352,60,1,User
20522,95,0,User
20408,67,0,User
20421,33,0,User
20544,38,0,User
20600,36,0,User
20603,17,1,User
20560,12,1,User
20660,12,1,User
20443,57,0,User
20731,34,0,User
20549,26,0,User
20732,26,1,User
20747,60,1,User
20726,33,1,User
20640,62,1,User
20623,33,0,User
20752,60,0,User
20756,74,0,User
20578,69,1,User
20651,62,1,User
20882,71,1,User
20794,67,0,User
20880,45,0,User
20987,78,0,User
20805,59,1,User
20970,71,1,User
20849,12,0,User
20850,12,0,User
20985,12,1,User
20997,16,0,User
20932,12,1,User
21042,62,1,User
21124,66,1,User
21068,34,0,User
